snr_ratio,round,question,original_answer,prompt_knowledge_parent_ids,top_parent_id,AutoCorrect,AutoSupport,ManualSupport,AnswerCorrect,FinalCorrect,EvidenceParentID,EvidenceQuote,CorrectionReason,NeedHumanReview,OriginalRollingAccuracy,CorrectedRollingAccuracy,EvidenceScore
1:200+,1,设顺序表长度为n，在第i个元素之前插入一个新元素，平均需要移动多少个元素？,平均需要移动约 n/2 个元素。因为插入在第 i 个元素前需移动 n-i+1 个，i 从 1 到 n+1 等可能时平均移动数为 n/2。,"['441363d2', '6715d8f0', 'a958dd61', 'a42c91f2', '122f1afd']",441363d2,1,是,是,是,1,441363d2,问：设顺序表长度为n，在第i个元素之前插入一个新元素，平均需要移动多少个元素？答：D. n/2。若在第i个元素前插入，需要移动第i到第n个元素，共n-i+1个；i从1到n+1等可能时，平均移动约n/2个。问：链式存储结构相比顺序存储结构的主要优点是什么？答：B. 插入删除不需要大量移动元素。链表插入、删除时主要修改指针，不需要像顺序表那样整体移动大量元素；链...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,1.0,1.0,102.8
1:200+,2,链式存储结构相比顺序存储结构，最主要的优点是什么？,链式存储结构最主要的优点是插入和删除操作不需要大量移动元素，只需修改指针即可。,"['441363d2', '026d4c8e', 'c21f926a', 'aefa7858', 'a9645156']",441363d2,0,否,是,是,1,441363d2,素前插入，需要移动第i到第n个元素，共n-i+1个；i从1到n+1等可能时，平均移动约n/2个。问：链式存储结构相比顺序存储结构的主要优点是什么？答：B. 插入删除不需要大量移动元素。链表插入、删除时主要修改指针，不需要像顺序表那样整体移动大量元素；链...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 441363d2 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,1.0,51.6
1:200+,3,循环队列采用数组Q[0..m-1]，front指向队头，rear指向队尾后一个位置，队满条件是什么？,队满条件是：(rear + 1) % m == front。因为循环队列通常牺牲一个存储单元来区分队空和队满，当rear的下一个位置是front时表示队列已满。,"['441363d2', '6cfdc470', '632e725a', 'a958dd61', 'a42c91f2']",441363d2,0,否,是,是,1,6cfdc470,下溢是指栈已空时继续执行出栈操作导致的错误。问6：在循环队列中，如何判断队空？答：front == rear时队空。在循环队列中，front指向队头元素，rear指向队尾元素的下一个位置，两者相等表示队列为空。问7：对于一个顺序存储的循环队列，数组大小为m，队列中最多能存放多少个元素？答：最多存放m-1个元素。循环队列通常牺牲一个存储单元来区分队空和队满，因...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 6cfdc470 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.3333,1.0,44.0
1:200+,4,栈适合解决什么类型的问题？请给出典型例子。,栈的逻辑特征是后进先出（LIFO），适合处理需要“最近进入、最先退出”的问题。典型例子包括：函数调用时的系统栈（用于保存返回地址和局部变量）、表达式求值中的运算符栈、括号匹配检查、以及浏览器的后退功能等。,"['b6d620c6', '80032979', '1021b1c7', '441363d2', 'a42c91f2']",b6d620c6,1,是,是,是,1,80032979,问：栈适合解决哪一类问题？答：栈的逻辑特征是后进先出（LIFO），适合处理“最近进入、最先退出”的问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,1.0,27.0
1:200+,5,一棵具有n个结点的二叉树，空指针域个数是多少？,一棵具有n个结点的二叉树，采用二叉链表存储时，空指针域个数为 **n+1**。原因：每个结点有两个指针域，共2n个；n个结点的二叉树有n-1条边，对应n-1个非空指针，因此空指针数为 2n - (n-1) = n+1。,"['e1cb1d4e', '80032979', '8267d48e', '10e6b0ed', 'ea9da252']",e1cb1d4e,1,是,是,是,1,80032979,先退出”的问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6,1.0,46.0
1:200+,6,无向连通图有n个顶点，至少需要多少条边？,至少需要 **n-1** 条边。因为 n 个顶点的无向连通图最少是一棵树，而树边数恰好为顶点数减一。,"['80032979', '8dcc4a3f', '122f1afd', '08fc7ed3', '207f64de']",80032979,0,否,是,是,1,80032979,结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 80032979 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,1.0,37.4
1:200+,7,二分查找要求线性表满足什么条件？,二分查找要求线性表**按关键字有序**（通常递增或递减），并且**采用顺序存储结构**（即数组），以便能通过下标快速定位中间元素，实现每次比较后缩小一半查找范围。,"['80032979', 'b6d620c6', '122f1afd', '08fc7ed3', '207f64de']",80032979,0,否,否,是,0,b6d620c6,但在已知插入/删除位置前驱结点时，只需修改指针，时间为O(1)。单链表适合数据规模变化大、插入删除频繁的场景，但每个结点需要额外指针域，存储密度低于顺序表。问：说明栈和队列的逻辑特征，并各举一个典型应用。答：栈是只允许在一端进行插入和删除的线性表，特点是后进先出（LIFO）。典型应用包括括号匹配、函数调用栈、表达式求值、深度优先搜索。典型应用包括括号匹配、函...,原始CSV自动规则无法证明有效支撑；人工复核在进入Prompt的知识库父块中未找到足够直接的支撑内容，保留AutoCorrect=0并标记待进一步复核。,是,0.4286,0.8571,13.4
1:200+,8,直接插入排序在序列基本有序时，时间复杂度接近多少？,直接插入排序在序列基本有序时，时间复杂度可接近 O(n)。因为每个元素的插入位置基本就在当前位置附近，比较和移动次数大幅减少，最好情况只需线性时间。,"['80032979', 'f9d94eba', '08fc7ed3', '0ffd1387', 'a0e65d78']",80032979,0,否,否,是,0,80032979,问：栈适合解决哪一类问题？答：栈的逻辑特征是后进先出（LIFO），适合处理“最近进入、最先退出”的问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV自动规则无法证明有效支撑；人工复核在进入Prompt的知识库父块中未找到足够直接的支撑内容，保留AutoCorrect=0并标记待进一步复核。,是,0.375,0.75,9.4
1:200+,9,哈希表产生冲突的根本原因是什么？,哈希表产生冲突的根本原因是**关键字集合大于哈希地址空间**，或者不同关键字经过同一哈希函数映射到了相同的地址。简言之，地址空间有限而关键字无限，哈希函数无法保证一一对应，冲突必然存在。,"['80032979', '6715d8f0', 'b6c66d16', '08fc7ed3', '41c9410c']",80032979,1,是,是,是,1,6715d8f0,问：哈希表产生冲突的根本原因是什么？答：关键字集合大于地址空间，或不同关键字经过同一哈希函数映射到了同一个地址，即多个关键字对应同一哈希地址。问：设算法T(n)=3n^2+20n+5，该算法的时间复杂度是多少？答：O(n^2)。大O表示只保留最高阶增长项并忽略常数系数。问：比较顺序表和单链表的适用场景。问：比较顺序表和单链表的适用场景。答：顺序表支持按下标随...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.4444,0.7778,54.2
1:200+,10,判断一下，T(n)=3n²+20n+5的时间复杂度是多少？,时间复杂度为 O(n²)。因为当 n 趋于无穷时，增长趋势由最高阶项 3n² 决定，忽略常数系数和低阶项。,"['80032979', '93fd3c5a', '632e725a', 'eeb7168c', '1ec80c64']",80032979,0,否,是,是,1,eeb7168c,长趋势，用大O记号表示，关注的是最高阶增长项，忽略常数系数和低阶项。问2：在顺序表中，访问第i个元素的时间复杂度是多少？答：O(1)。顺序表采用连续存储，可以通过下标直接计算出元素地址，实现随机访问。问3：在一个长度为n的单链表中，在值为x的结点之后插入一个新结点，已知指向x的指...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 eeb7168c 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.4,0.8,28.4
1:200+,11,比较顺序表和单链表的适用场景。,顺序表适合**数据规模相对固定、按位置随机访问频繁**的场景；单链表适合**数据规模变化大、插入/删除操作频繁**的场景（尤其已知前驱结点时）。需要我补充时间复杂度的对比吗？,"['6715d8f0', 'b6d620c6', '1ec80c64', '34a47e6d', 'cb4e10fc']",6715d8f0,1,是,是,是,1,6715d8f0,0n+5，该算法的时间复杂度是多少？答：O(n^2)。大O表示只保留最高阶增长项并忽略常数系数。问：比较顺序表和单链表的适用场景。问：比较顺序表和单链表的适用场景。答：顺序表支持按下标随...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.4545,0.8182,46.8
1:200+,12,栈和队列的逻辑特征分别是什么？各举一个应用。,栈的逻辑特征是后进先出（LIFO），即只允许在一端进行插入和删除。典型应用：函数调用栈（保存返回地址和局部变量）。队列的逻辑特征是先进先出（FIFO），即只允许在一端插入、另一端删除。典型应用：操作系统中的任务调度队列（如打印任务排队）。需要我具体分析某个例子吗？,"['b6d620c6', '6715d8f0', '441363d2', '1021b1c7', 'a7a500d6']",b6d620c6,1,是,是,是,1,b6d620c6,栈和队列的逻辑特征，并各举一个典型应用。答：栈是只允许在一端进行插入和删除的线性表，特点是后进先出（LIFO）。典型应用包括括号匹配、函数调用栈、表达式求值、深度优先搜索。典型应用包括括号匹配、函...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,0.8333,41.0
1:200+,13,简述二叉排序树的查找过程。,二叉排序树的查找过程：从根结点开始，将待查关键字与当前结点关键字比较；若相等则查找成功；若小于当前结点关键字，则递归进入左子树；若大于则递归进入右子树；直至找到目标或到达空子树（查找失败）。,"['b6d620c6', 'f1ee6e22', 'a7a500d6', '1021b1c7', 'ca6f1e9b']",b6d620c6,0,否,否,是,0,ca6f1e9b,答：查找成功时ASL约为(n+1)/2，查找失败时ASL为n。顺序查找对表的结构没有要求，但效率较低。问26：二分查找的平均查找长度（ASL）大约是多少？答：二分查找查找成功时的ASL约为log2(n+1)-1。二分查找的效率远高于顺序查找，但要求表顺序存储且有序。问27：什么是平衡二叉树？答：平衡二叉树是一种二叉排序树，其中任意结点的左右子树高度差的绝对值...,原始CSV自动规则无法证明有效支撑；人工复核在进入Prompt的知识库父块中未找到足够直接的支撑内容，保留AutoCorrect=0并标记待进一步复核。,是,0.4615,0.7692,24.0
1:200+,14,图的邻接矩阵和邻接表分别适合什么情况？,邻接矩阵适合**稠密图**，判断任意两点间是否有边的时间为O(1)，但空间开销固定为O(n²)；邻接表适合**稀疏图**，空间效率高，但判断两点间是否有边需遍历对应链表。需要我补充两者在查找边和空间占用上的详细对比吗？,"['4e7f7bfe', 'b6d620c6', '207f64de', 'b580c20a', '1021b1c7']",4e7f7bfe,1,是,是,是,1,4e7f7bfe,则查找失败。二叉排序树平均查找效率与树高有关，理想情况下为O(log n)，最坏退化为O(n)。问：图的邻接矩阵和邻接表分别适合什么情况？答：邻接矩阵用二维数组表示顶点之间是否有边，适合稠密图，判断任意两点之间是否有边的时间为O(1)，但空间复杂度为O(n^2)。答：邻接矩阵用二维数组表...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,0.7857,61.0
1:200+,15,已知二叉树先序为A B D E C F，中序为D B E A F C，后序遍历是什么？,后序遍历序列为：D E B F C A。推理过程：先序首元素A为根；中序中A左侧D B E为左子树，右侧F C为右子树；左子树先序B D E、中序D B E推出B为根，D和E分别为B的左、右孩子；右子树先序C F、中序F C推出C为根，F为C的左孩子；最后按后序规则遍历得到结果。,"['024660ab', '4e7f7bfe', '2c3660a7', 'a3cdd4d3', '40db568b']",024660ab,0,否,是,是,1,a3cdd4d3,遍历序列。答：先序首元素A为根；中序序列中A左侧为D B E，右侧为F C。左子树先序为B D E，中序为D B E，所以左子树根为B，B的左孩子为D，右孩子为E。右子树先序为C F，中序为F C，所以右子树根为C，C的左孩子为F。该树结构为：A的左孩子B、右孩子C；B的左右孩子分别为D、E；C的左孩子为F。后序遍历为：D E B ...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 a3cdd4d3 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.4667,0.8,38.8
1:200+,16,无向连通带权图边为AB=2，AC=3，BC=1，BD=4，CD=5，CE=6，DE=2，用Kruskal算法求最小生成树和总权值。,"使用Kruskal算法求解。先将所有边按权值从小到大排序： BC=1, AB=2, DE=2, AC=3, BD=4, CD=5, CE=6。 依次选取不形成回路的边： 1. 选BC（权值1），连通分量：{B,C}与{A}、{D}、{E}。 2. 选AB（权值2），连通分量：{A,B,C}与{D}、{E}。 3. 选DE（权值2），连通分量：{A,B,C}与{D,E}。 4. 下一最小边AC=3，但A与C已在同一分量中，形成回路，跳过。 5. 选BD=4，连接{ A,B,C }与{ D,E }，此时所有顶点连通。 最小生成树边集为：{BC, AB, DE, BD}，总权值 = 1+2+2+4 = 9。","['a3cdd4d3', '7444a54b', '55079530', 'a0e65d78', '084accd2']",a3cdd4d3,1,是,是,是,1,084accd2,"AC会与A-B-C构成回路，跳过；选BD将两个连通分量连接。最小生成树边集为{BC, AB, DE, BD}，总权值为1+2+2+4=9。问：有向图从源点S出发，边权如下：S→A=2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3。请用Dijkstra算法求S到各点的最短距离。答：初始化：d(S)=0，d(A)=2，d(B)=5，d(...",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,0.8125,39.0
1:200+,17,有向图边权为S→A=2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3，用Dijkstra求S到各点最短距离,"使用Dijkstra算法从源点S出发。 初始化：d(S)=0，d(A)=2，d(B)=5，d(C)=∞，d(D)=∞。 选取当前最小距离节点A（距离2），更新邻接点： - A→B=1，则d(B)=min(5, 2+1)=3； - A→C=4，则d(C)=min(∞, 2+4)=6。 当前未确定节点：B(3), C(6), D(∞)，选取最小B（距离3）。 更新B的邻接点： - B→C=1，则d(C)=min(6, 3+1)=4； - B→D=7，则d(D)=min(∞, 3+7)=10。 当前未确定节点：C(4), D(10)，选取C（距离4）。 更新C的邻接点： - C→D=3，则d(D)=min(10, 4+3)=7。 最后选取D（距离7）。 最终最短距离：S→A=2，S→B=3，S→C=4，S→D=7。","['084accd2', 'a3cdd4d3', '3e466c17', '3de97722', '7444a54b']",084accd2,0,否,是,是,1,084accd2,，边权如下：S→A=2，S→B=5，A→B=1，A→C=4，B→C=1，B→D=7，C→D=3。请用Dijkstra算法求S到各点的最短距离。答：初始化：d(S)=0，d(A)=2，d(B)=5，d(...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 084accd2 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.4706,0.8235,101.6
1:200+,18,"对序列49,38,65,97,76,13,27进行一趟快速排序，以49为枢轴，划分结果是什么？","一趟快速排序后的结果为：27, 38, 13, 49, 76, 97, 65。枢轴49最终位于第4个位置（从1开始计数即索引3）。划分过程采用双向扫描，从两端交替比较交换得到此序列。","['084accd2', '30ffb5fe', '59de649f', '91ac5dd7', '3de97722']",084accd2,1,是,是,是,1,30ffb5fe,"，S-A-B-C，S-A-B-C-D。问：对序列49, 38, 65, 97, 76, 13, 27进行一趟快速排序，以第一个元素49为枢轴。请写出一趟划分后的结果，并说明枢轴最终位置。答：以49为枢轴，采用常见双向扫描划分，可得到结果：27, 38, 13, 49, 76, 97, 65。枢轴49最终位于第4个位置；其左侧元...",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5,0.8333,44.6
1:200+,19,"设H(key)=key mod 11，线性探测插入22,41,53,46,30,13，哈希表结果是什么？",哈希函数 H(key)=key mod 11，线性探测法处理冲突（步长+1）。插入过程如下： 1. **22**：H=0，槽0空 → 放入22。 2. **41**：H=8（41 mod 11 = 8），槽8空 → 放入41。 3. **53**：H=9（53 mod 11 = 9），槽9空 → 放入53。 4. **46**：H=2（46 mod 11 = 2），槽2空 → 放入46。 5. **30**：H=8（30 mod 11 = 8），槽8已被41占，探测下一位置9（被53占），再探测10（空）→ 放入30。 6. **13**：H=2（13 mod 11 = 2），槽2已被46占，探测3（空）→ 放入13。 最终哈希表（槽0～10）为： - 0: 22 - 1: 空 - 2: 46 - 3: 13 - 4: 空 - 5: 空 - 6: 空 - 7: 空 - 8: 41 - 9: 53 - 10: 30 查找时按此分布进行。需注意线性探测可能产生堆积问题。,"['30ffb5fe', '526b1d78', '0184a76c', '59de649f', '41b6cd22']",30ffb5fe,1,是,是,是,1,526b1d78,"：已知一组关键字{19, 14, 23, 1, 68, 20, 84, 27}，哈希函数H(key)=key mod 13，采用链地址法处理冲突，请画出哈希表。答：计算哈希地址：H(19)=6，H(14)=1，H(23)=10，H(1)=1，H(68)=3，H(20)=7，H(84)=6，...",原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5263,0.8421,39.8
