阶段,模型,索引范围,样本数,平均分析长度,中位分析长度,合理性评分,analysis标签缺失,response标签缺失,repair触发次数
S1,DeepSeek-v4-pro,1–20,20,166.6,168.0,92,0,0,0
S2,GPT-5.5,21–40,20,166.2,55.0,93,0,0,0
S3,Claude Opus 4.6,41–60,20,143.5,128.0,88,0,0,0
S4,Gemini-3-pro,61–80,20,83.2,81.5,90,0,0,0
S5,GLM-5.1,81–100,20,75.2,75.0,82,1,1,0
S6,Kimi-K2.6X,101–120,20,75.8,79.0,83,1,1,0
S7a,Qwen2.5-7B,121–135,15,88.9,82.0,36,5,4,4
S7b,Qwen3-8B,136–140,5,87.8,105.0,68,1,1,1
S8,LongCat-Flash,141–160,20,203.6,207.0,91,0,0,0
S9,MiniMAX-M2-Her,161–172,12,45.2,0.0,24,8,9,9
