snr_ratio,round,question,original_answer,prompt_knowledge_parent_ids,top_parent_id,AutoCorrect,AutoSupport,ManualSupport,AnswerCorrect,FinalCorrect,EvidenceParentID,EvidenceQuote,CorrectionReason,NeedHumanReview,OriginalRollingAccuracy,CorrectedRollingAccuracy
1:5,1,设顺序表长度为n，在第i个元素之前插入一个新元素，平均需要移动多少个元素？,平均需要移动 n/2 个元素。因为若在第 i 个元素前插入，需要移动第 i 到第 n 个元素共 n-i+1 个，i 从 1 到 n+1 等可能时，平均移动次数约为 n/2。,"['9d61e736', '07c52459', '52fea983', '8288babf', '9d8f95a2']",9d61e736,1,是,是,是,1,9d61e736,问：设顺序表长度为n，在第i个元素之前插入一个新元素，平均需要移动多少个元素？答：D. n/2。若在第i个元素前插入，需要移动第i到第n个元素，共n-i+1个；i从1到n+1等可能时，平均移动约n/2个。问：链式存储结构相比顺序存储结构的主要优点是什么？答：B. 插入删除不需要大量移动元素。链表插入、删除时主要修改指针，不需,原始CSV已判定为有效支撑；人工复核保留该判定。,否,1.0,1.0
1:5,2,链式存储结构相比顺序存储结构，最主要的优点是什么？,链式存储结构最主要的优点是插入和删除操作只需修改指针，不需要移动大量元素，时间复杂度为O(1)（已知插入位置），而顺序存储则需移动平均一半元素。,"['4f7bb652', '2fd99ca9', '4223808a', '06cbb859', '9d61e736']",4f7bb652,0,否,是,是,1,2fd99ca9,存储密度高，结点只存储数据元素。缺点是插入和删除需要移动大量元素，时间复杂度为O(n)；需要预先分配连续空间，空间利用率低，扩展性差。问5：线性表的链式存储结构有什么优缺点？答：优点是插入和删除操作只需修改指针，不需要移动元素，时间复杂度为O(1)（已知插入位置）；空间分配灵活，不需要连续空间。缺点是不能随机访问，查找,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 2fd99ca9 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,1.0
1:5,3,循环队列采用数组Q[0..m-1]，front指向队头，rear指向队尾后一个位置，队满条件是什么？,在循环队列中，队满的条件是 (rear + 1) % m == front。这是因为通常牺牲一个存储单元来区分队空和队满，当rear的下一个位置（循环意义上）等于front时，表示队列已满，无法再插入新元素。,"['9d61e736', '36813c45', '8288babf', '2ede359d', '06cbb859']",9d61e736,1,是,是,是,1,36813c45,下溢是指栈已空时继续执行出栈操作导致的错误。问6：在循环队列中，如何判断队空？答：front == rear时队空。在循环队列中，front指向队头元素，rear指向队尾元素的下一个位置，两者相等表示队列为空。问7：对于一个顺序存储的循环队列，数组大小为m，队列中最多能存放多少个元素？答：最多存放m-1个元素。循环队列通常牺牲一个存储单元来区分队空和队满，因...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6667,1.0
1:5,4,栈适合解决什么类型的问题？请给出典型例子。,栈采用后进先出（LIFO）的访问方式，特别适合需要“回溯”或“嵌套”结构的问题。典型例子包括：括号匹配（检查左右括号顺序是否合法）、函数调用栈（跟踪返回地址）、表达式求值（将中缀转为后缀）、深度优先搜索（DFS）等。,"['22763916', '5fc40fbf', '1c8aa6ee', '9d61e736', 'cf8a4fed']",22763916,1,是,是,是,1,22763916,但在已知插入/删除位置前驱结点时，只需修改指针，时间为O(1)。单链表适合数据规模变化大、插入删除频繁的场景，但每个结点需要额外指针域，存储密度低于顺序表。问：说明栈和队列的逻辑特征，并各举一个典型应用。答：栈是只允许在一端进行插入和删除的线性表，特点是后进先出（LIFO）。典型应用包括括号匹配、函数调用栈、表达式求值、深度优先搜索。典型应用包括括号匹配、函...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.75,1.0
1:5,5,一棵具有n个结点的二叉树，空指针域个数是多少？,一棵具有n个结点的二叉树，采用二叉链表存储时，空指针域个数为 n+1。因为每个结点有两个指针域，共2n个指针，有效边数为n-1（根结点无入边），所以空指针数为2n-(n-1)=n+1。,"['0179f9a7', '52fea983', '510f1b66', '9d61e736', 'b700e16c']",0179f9a7,1,是,是,是,1,52fea983,问题，如函数递归调用、表达式求值、括号匹配、浏览器回退等。问：一棵具有n个结点的二叉树，其空指针域个数是多少？答：n+1。二叉链表中每个结点有两个指针域，共2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.8,1.0
1:5,6,无向连通图有n个顶点，至少需要多少条边？,无向连通图至少需要 n-1 条边，此时构成一棵树（无环连通图）。若边数少于 n-1，则图必然不连通。,"['52fea983', 'b34e95d1', '40e1c76b', '2a921859', '64995d10']",52fea983,0,否,是,是,1,52fea983,2n个指针；非空指针对应边数n-1，所以空指针数为2n-(n-1)=n+1。问：无向连通图有n个顶点，至少...,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 52fea983 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.6667,1.0
1:5,7,二分查找要求线性表满足什么条件？,二分查找要求线性表采用顺序存储结构（即数组），且表中的元素必须已按关键字有序排列（通常递增或递减）。这样才可以利用折半的方式快速定位目标元素。,"['52fea983', '22763916', '3f210429', '2a921859', '52ee2425']",52fea983,0,否,是,是,1,52ee2425,答：查找成功时ASL约为(n+1)/2，查找失败时ASL为n。顺序查找对表的结构没有要求，但效率较低。问26：二分查找的平均查找长度（ASL）大约是多少？答：二分查找查找成功时的ASL约为log2(n+1)-1。二分查找的效率远高于顺序查找，但要求表顺序存储且有序。问27：什么是平衡二叉树？答：平衡二叉树是一种二叉排序树，,原始CSV自动判定为0，但人工复核发现进入Prompt的父块 52ee2425 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5714,1.0
1:5,8,直接插入排序在序列基本有序时，时间复杂度接近多少？,直接插入排序在序列基本有序时，时间复杂度接近 O(n)。这是因为每个元素只需经过很少的比较和移动就能插入到正确位置，内层 while 循环几乎不执行。,"['52fea983', 'be127544', '921d2ef6', 'e49ed934', 'd15852c3']",52fea983,0,否,是,是,1,d15852c3,"(1)，只使用了三个辅助变量。问49：设计算法，建立有n个结点的二叉排序树，依次插入关键字序列，写出伪代码并分析最坏时间复杂度。答：核心思想：从空树开始，逐个插入关键字。插入时与根比较，小于根走左子树，大于根走右子树，直到找到空位置。伪代码：textBuildBST(A, n):T = NULLfor i = 0 to n-1:InsertBST...",原始CSV自动判定为0，但人工复核发现进入Prompt的父块 d15852c3 含有可支撑回答的内容；模型回答与该证据语义一致。,否,0.5,1.0
1:5,9,哈希表产生冲突的根本原因是什么？,根本原因是关键字集合远大于地址空间，或者多个不同关键字经过哈希函数映射到了同一个地址，即发生了“多对一”的映射。,"['bac0b444', '52fea983', '98331fa4', '07c52459', '278227f9']",bac0b444,1,是,是,是,1,07c52459,问：哈希表产生冲突的根本原因是什么？答：关键字集合大于地址空间，或不同关键字经过同一哈希函数映射到了同一个地址，即多个关键字对应同一哈希地址。问：设算法T(n)=3n^2+20n+5，该算法的时间复杂度是多少？答：O(n^2)。大O表示只保留最高阶增长项并忽略常数系数。问：比较顺序表和单链表的适用场景。问：比较顺序表和单链,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.5556,1.0
1:5,10,判断一下，T(n)=3n²+20n+5的时间复杂度是多少？,T(n)=3n²+20n+5的时间复杂度是O(n²)。因为大O表示法只保留最高阶项并忽略常数系数，这里最高阶项是3n²，所以时间复杂度为O(n²)。,"['52fea983', '07c52459', '9d8f95a2', '1600a5fe', '8288babf']",52fea983,1,是,是,是,1,07c52459,映射到了同一个地址，即多个关键字对应同一哈希地址。问：设算法T(n)=3n^2+20n+5，该算法的时间复杂度是多少？答：O(n^2)。大O表示只保留最高阶增长项并忽略常数系数。问：比较顺序表和单链表的适用场景。问：比较顺序表和单链表的适用场景。答：顺序表支持按下标随...,原始CSV已判定为有效支撑；人工复核保留该判定。,否,0.6,1.0
